"","PMN_1","Necrosis_1","Bacteria_1","Alveolar.Hemorrhage_1","Edema_1","Hyaline.membranes_1","AT.2.pneumocyte.hyperplasia_1","Lymphoplasmacytic_1","Multinucleated_1","Fibrosis_1","vasculitis_1","Fibrin_alveoli"
"3063",0,0,0,0,0,0,0,0,0,0,0,0
"3064",0,0,0,0,0,0,0,0,0,0,0,0
"3065",0,0,0,0,0,0,0,0,0,0,0,0
"3066",0,0,0,0,0,0,0,0,0,0,0,0
"3067",0,0,0,0,0,0,0,0,0,0,0,0
"3068",0.833333333333333,0.4,0,0.5,1,0.25,0,0.666666666666667,0,0,0,0.333333333333333
"3069",0.833333333333333,0.2,0,0.25,1,0,1,1,1,0,0,0.333333333333333
"3070",0.666666666666667,0.2,0,0,0.5,0,0,0.666666666666667,1,0,0,0.333333333333333
"3071",0.5,0.2,0,0.25,0.333333333333333,0.25,0,0.833333333333333,1,0,0,0.333333333333333
"3072",0.5,0.2,0,0.25,0.333333333333333,0.25,0,0.833333333333333,0,0,0,0.333333333333333
"3073",0.333333333333333,0,0,0,0.5,0.25,0,0.833333333333333,1,0,0,0.333333333333333
"3074",1,0.2,0.5,0.25,0.833333333333333,0,0,0.166666666666667,0,0,0,0.333333333333333
"3076",1,1,1,0.25,0.833333333333333,0,0,0.166666666666667,0,0,0,1
"3077",1,0.8,1,0.25,0.833333333333333,0,0,0.166666666666667,0,0,0,0.666666666666667
"3078",1,0.4,0.833333333333333,0,0.833333333333333,0,1,0.166666666666667,0,0,0,0.333333333333333
"3081",0,0,0,0,0,0,0,0,0,0,0,0
"3082",0.833333333333333,0,0,0.25,0.5,0.25,0,0.666666666666667,1,0,0,0.333333333333333
"3084",0.833333333333333,0.8,0.833333333333333,0.25,0.666666666666667,0,0,0.166666666666667,0,0,0,1
"3085",1,0.2,0.666666666666667,0.25,0.333333333333333,0,0,0.166666666666667,0,0,0,0
"3086",0.833333333333333,0.6,0.833333333333333,0,0.666666666666667,0,0,0.166666666666667,0,0,0,0.666666666666667
"3087",0,0,0,0,0,0,0,0,0,0,0,0
"3088",0,0,0,0,0,0,0,0,0,0,0,0
"3089",0,0,0,0,0,0,0,0,0,0,0,0
"3090",0,0,0,0,0,0,0,0,0,0,0,0
"3091",0,0,0,0,0,0,0,0,0,0,0,0
"3092",0.333333333333333,0.2,0,0,0.5,0,0,0.666666666666667,1,0,0,0
"3093",0.333333333333333,0,0,0,0.333333333333333,0,0,0.833333333333333,1,0,0,0
"3094",0.333333333333333,0,0,0.25,0.5,0.25,0,0.833333333333333,1,0,0,0.333333333333333
"3095",1,1,1,0.25,0.833333333333333,0,0,0.166666666666667,0,0,0,1
"3096",1,0.6,1,0.25,1,0,0,0.166666666666667,0,0,0,1
"3097",1,0.6,1,0,0.833333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333
"3098",1,0.2,0.833333333333333,0,0.833333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333
"3099",1,0.2,0.833333333333333,0,0.833333333333333,0,0,0.166666666666667,0,0,0,0.333333333333333
"3100",1,1,0.833333333333333,1,1,0,0,0.166666666666667,0,0,0,1
"3101",1,0.2,0.833333333333333,0,0.833333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333
"3258",0,0,0,0,0.333333333333333,0,0,1,0,0,0,0
"3259",1,1,1,0.25,1,0.25,0,0.5,0,0.333333333333333,0,1
"3260",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"3261",0,0,0,0,0,0,0,0.5,0,0,0,0
"3262",0.833333333333333,0.2,0.833333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0.333333333333333
"3263",0,0,0,0,0,0,0,0.5,0,0,0,0
"3264",1,0.2,0.666666666666667,0.25,0.833333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333
"3265",0,0,0,0,0,0,0,0.5,0,0,0,0
"3266",1,0.6,0.833333333333333,0.25,0.833333333333333,0,0,0.333333333333333,0,0,0,0.666666666666667
"3267",1,0.2,0.833333333333333,0.25,0.833333333333333,0.25,0,0.333333333333333,0,0,0,0.333333333333333
"3268",0.166666666666667,0,0,0.25,0.333333333333333,0,1,0.833333333333333,0,1,0,0
"3269",0.166666666666667,0,0,0,0.333333333333333,0,1,1,0,0.666666666666667,0,0
"3270",0.166666666666667,0,0,0,0.166666666666667,0,0,0.666666666666667,0,0.333333333333333,0,0
"3271",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"3272",1,0.6,1,0.25,0.833333333333333,0.5,0,0.333333333333333,0,0,0,0.666666666666667
"3273",1,0,0.833333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"3274",1,0,0.833333333333333,0.25,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"3275",1,0.6,0.833333333333333,0.25,1,0,0,0.333333333333333,0,0,0,1
"3276",0,0,0,0,0,0,0,0,0,0,0,0
"3277",0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"3278",0.166666666666667,0,0,0,0,0.25,0,0.666666666666667,0,0,0,0.333333333333333
"3279",0.166666666666667,0,0,0.25,0.166666666666667,0,0,0.833333333333333,0,0,0,0
"3280",0.166666666666667,0,0,0,0.333333333333333,0.25,0,0.833333333333333,0,0,0,0.333333333333333
"3281",1,0.2,0.833333333333333,0,0.5,0,0,0.333333333333333,0,0,0,0.333333333333333
"4091",1,0.8,0.166666666666667,0.5,1,0,0,0.166666666666667,0,0.333333333333333,0,1
"4092",0,0,0,0,0,0,0,0,0,0,0,0
"4093",1,0.8,0.333333333333333,0.5,1,0,0,0,0,0,0,1
"4094",1,0.4,0.333333333333333,0.5,0.666666666666667,0,1,0.166666666666667,0,0.333333333333333,0,0.666666666666667
"4095",1,0.4,0.333333333333333,0,0.666666666666667,0,1,0.166666666666667,0,0,0,0.666666666666667
"4096",0,0,0,0,0,0,0,0,0,0,0,0
"4097",0,0,0,0,0,0,0,0,0,0,0,0
"4098",1,0.8,0.333333333333333,0.25,0.833333333333333,0,0,0,0,0,0,1
"4099",1,0.8,0.166666666666667,0.25,0.833333333333333,0,0,0,0,0,0,1
"4100",0,0,0,0,0,0,0,0,0,0,0,0
"4101",1,0.6,1,0.25,0.833333333333333,0,0,0,0,0,0,1
"4559",0.666666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0
"4560",1,0.4,0.833333333333333,0,0.666666666666667,0,0,0,0,0,1,0.666666666666667
"4561",0.5,0.2,0.5,0,0.166666666666667,0,0,0,0,0,0,0
"4562",0.666666666666667,0.2,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0,0
"4563",0.833333333333333,0.4,0.833333333333333,0.25,0.666666666666667,0,0,0.166666666666667,0,0,1,0
"4564",0.666666666666667,0.2,0.333333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"4565",0.666666666666667,0.4,1,0,0.666666666666667,0,0,0,0,0,0.75,0
"4566",0.5,0.4,0.333333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0,0.25,0.333333333333333
"4652",0.833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0
"4653",1,1,0.833333333333333,0.25,1,0,0,0,0,0,0,1
"4654",1,0.6,0.833333333333333,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333
"4655",1,0.6,0.166666666666667,0,0.666666666666667,0,0,0,0,0,0,0.666666666666667
"4656",1,0.8,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0,0.333333333333333
"4657",1,1,1,1,1,0,0,0,0,0,0,1
"4658",1,0.6,0.5,0.25,0.833333333333333,0,0,0,0,0,0,0.666666666666667
"4936",0.666666666666667,0,0,0,0,0,0,0.5,0,0,0,0
"4937",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"4938",0,0,0,0.5,0,0,0,0.5,0,0,0,0
"4939",0.166666666666667,0,0,0,0.166666666666667,0,1,0.5,0,0,0,0
"4940",0.166666666666667,0,0,0,0,0,1,0.666666666666667,1,0,0,0
"4941",0.166666666666667,0,0,0,0,0,0,0.5,0,0,0,0
"5084",0.166666666666667,0,0,0,0,0,0,0.5,0,0,0.25,0
"5085",0.166666666666667,0,0,0,0.5,1,0,0.5,0,0,0,0.666666666666667
"5086",0.333333333333333,0,0,0,0.5,1,0,0.666666666666667,0,0,0,0.666666666666667
"5087",0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"5088",0,0,0,0.25,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"5089",0,0,0,0.25,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"5090",0,0,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"5091",0,0,0,0,0,0,0,0.5,0,0,0,0
"5092",0.166666666666667,0,0,0,0,0.25,0,0.5,0,0,0,0.333333333333333
