"","slide_id","Total_cell","Opal 480 Positive Cells (CD19)","Opal 520 Positive Cells (CD4)","Opal 620 Positive Cells (CD8)","Total_area","Opal 570 Area (μm²) Myeloperoxidase","Opal 690 Area (μm²) CD68"
"1","11-100",1653625,0.003093204323834,0.138891223826442,0.0697334643586061,321256480,0.0341521702534996,0.164526822929766
"2","19-26",2753801,0.00710327289444662,0.0582286083852827,0.0161707400062677,520477984,0.100762809594651,0.196215577103065
"3","20-60",871954,0.00911057234670636,0.181634581640775,0.116099014397548,206561744,0.017165556319083,0.0936800572326694
"4","10-53",860210,0.0274711988932935,0.171390706920403,0.0936329500935818,257886112,0.000420192872774785,0.072086053241983
"5","13-23",982341,0.0100250320408086,0.117590531190289,0.0175102128486951,253237984,0.00154349820996838,0.0455017482685378
"6","19-66",905951,0.0207538818324611,0.125941690003102,0.0430553087308254,234817088,0.0830517496239456,0.167815333780138
"7","10-32",1587420,0.00268107999143264,0.0695335827947235,0.012243136662005,368074016,0.0297269340523076,0.105104653733558
"8","19-47",1137900,0.00217505931979963,0.0870304947710695,0.0955242112663679,352858432,0.0469980323440308,0.156005805750449
"9","19-11",636931,0.00322012902496503,0.151264422676868,0.0936113958968868,330094496,0.00429348040386593,0.0678494136418439
"10","14-20",1093280,0.0156062490853212,0.0812060954192887,0.0156355188057954,245090272,0.00603408282153279,0.0264617744599835
"11","15-68",415410,0.0128932861510315,0.201562311932789,0.0536024650345442,266704016,0.0465735581574445,0.214643831984892
"12","20-40",955953,0.00476174037844957,0.0848870185040478,0.0595311694194171,435671808,0.000563546656259659,0.0476295633983276
"13","19-23",1104523,0.00372921161442541,0.0732687322943932,0.0302248119776591,460832640,0.082444915360162,0.18665903526278
"14","13-05",484989,0.000936103705444866,0.163125349234725,0.0402483355292594,261262640,0.00791666290289343,0.0402649992360178
"15","21-18",1797062,0.00203331882817621,0.0395662475752089,0.0245383854313318,419004608,0.013165963797706,0.138560490485107
"16","10-19",512000,0.01174609375,0.12368359375,0.04078515625,302584736,0.00127128200957896,0.0488586873066856
"17","12-39",736825,0.00604485461269637,0.0791924812540291,0.0583476402130764,215948672,0.00121047210584374,0.0637329967002529
"18","21-08",369333,0.0186823273306203,0.153427936306802,0.095910736381531,151514288,9.13481235380257e-05,0.111960332084325
"19","19-50",1671529,0.00158597308213019,0.0336919072298476,0.0108337934908697,328618816,0.208170575357438,0.0751078234059488
"20","21-17",1187936,0.00147482692670312,0.0462684858443553,0.0347729170595049,269247232,0.0253082991768695,0.138722674036627
"21","11-44",329597,0.00121360327915606,0.166233309162401,0.013643934865912,209677296,0.000925908321161295,0.0302050752314166
"22","11-06",795323,0.00875241882857657,0.0678152146989336,0.024318421572116,198968896,0.00373033902494991,0.102763288187517
"23","20-44",653593,0.01433460884679,0.0795127854796487,0.0473367982827233,283790752,0.000625998255309602,0.0750449542485444
"24","18-52",729405,0.00440770216820559,0.0701585538898143,0.0210527758926796,363042944,0.0222584714385745,0.0585803975851408
"25","20-49",1361346,0.00404085368451518,0.0375826571643065,0.0168245251390903,405830528,0.000787760091202405,0.0610938465427618
"26","10-52",382335,0.00438097479958675,0.126444086991774,0.0622647678083356,150356848,0.0106745720022011,0.0998009282556921
"27","16-44",358495,0.0280812842578,0.129192875772326,0.0858059387160211,111450160,0.016252057197585,0.169517728821565
"28","11-17",1055655,0.00308528828073566,0.0434185410953389,0.0244956922479409,380961600,0.0228696488044989,0.0936144325307328
"29","18-54",581021,0.010139048330439,0.0787699584008151,0.0478777875498476,197092576,0.0636314733640703,0.0820313698675287
"30","11-38",995505,0.00298341042988232,0.0451278496843311,0.00835857178015178,355682176,0.104947873463302,0.15492085833393
"31","17-56",716683,0.00200507058211231,0.0626706647150832,0.00577800785005365,361986720,0.00971562368365337,0.0949360020721202
"32","20-45",668252,0.010297013701418,0.0670256130920671,0.0411087434081754,306847232,0.00153901390334197,0.0345609928786974
"33","13-48",323555,0.0251023782664462,0.132614238692031,0.027466736721732,196703968,0.0102801408662991,0.0379592215445293
"34","21-35",383386,0.000602525913830969,0.090584945720501,0.0429671401668293,281689600,0.000336186865791282,0.0132120026795451
"35","17-24",609038,0.00705374705683389,0.0568897178829564,0.0454027499105146,195224144,0.0432016185457061,0.201568572379039
"36","11-16",662390,0.00448074397258413,0.0508310813870982,0.0171998369540603,339434656,0.0353285817698002,0.0445506837109762
"37","19-03",232877,0.0253309687088034,0.143517822713278,0.0417344778574097,106060424,0.0125533394058466,0.0662253716805809
"38","21-10",753529,0.00267673838697648,0.0434104062351947,0.0778271307408209,338088768,0.00718327471914122,0.0696506782502754
"39","21-25",430247,0.00540154841288841,0.075879669120296,0.0383500640329857,214734016,0.000799488712002667,0.0253547346685865
"40","14-47",408726,0.00219707089835244,0.0774455258535058,0.0157000044039283,185516176,0.00638236325548237,0.110888076951306
"41","14-51",542681,0.022167719157295,0.0583086564666904,0.0125561794129516,212613200,0.000897557968531587,0.0578720088875009
"42","21-28",694724,0.0178516936222154,0.0451056822565508,0.0511526879739292,182932288,0.000416778913917045,0.0490858781583708
"43","08-24",491641,0.000498331099318405,0.0605482455694297,0.0379240136603741,149120192,0.0160390468783731,0.0544785008055784
"44","09-49",589253,0.0173338107739799,0.0501516326603344,0.0460701939574342,177323728,0.000283226910066993,0.0240748491369412
"45","16-40",697146,0.00248154618975078,0.0408364962289104,0.117762993691422,151578960,0.000208115864682011,0.0474461462197656
"46","21-05",679526,0.0018203865635752,0.0413832583300713,0.0432742823674149,243471360,0.000117707705243031,0.126287518991967
"47","07-64",862682,0.00252236629488038,0.0315075543479521,0.0146647316160532,307703104,0.00388096263728298,0.0208434540198854
"48","21-20",858150,0.000576822233875197,0.0313313523276816,0.0126353201654722,366395840,0.00424431470073459,0.084787381865471
"49","12-17",390464,0.00754743074905753,0.06847750368792,0.0308991353876414,147002448,0.0137137086995993,0.0692505610518813
"50","15-06",701943,0.00540784650605533,0.0380472488506902,0.0334072709607475,202207088,0.0389158143655182,0.0819650496128998
"51","10-67",575047,0.000111295250649077,0.0462918683168506,0.0376334456140107,164985424,0.0114951609300953,0.0610078742471214
"52","07-59",390031,0.00720199163656222,0.0678869115531842,0.0960231366224736,203195232,0.0318395044820737,0.0941996906699071
"53","19-59",680866,0.00124253524188313,0.0383247217514166,0.0315715573989596,478099328,0.00653855499667216,0.0769717124555339
"54","19-13",573092,0.00743685132579062,0.0453103515665897,0.0164546006574861,216583424,0.0155588188041574,0.055772707702691
"55","21-24",905188,0.00175322695395874,0.0284614908726143,0.0442206480863644,234051792,0.0511806463759098,0.0797418120174017
"56","07-70",275413,0.00704033578661864,0.0927443512107272,0.0430371841561582,171990320,0.00395262179580804,0.00724094748471891
"57","15-02",1010814,8.90371522357229e-05,0.0248453226805327,0.0102086041546714,291807904,0.0507756637051202,0.083035112030413
"58","10-01",320923,0.00354290593070612,0.0745287810471671,0.0234386441607488,119765416,0.00255922090438863,0.0321062947754467
"59","08-70",576979,0.00498804982503696,0.0414486489109656,0.0158844602663182,208654256,0.00430861867969758,0.056409829474075
"60","15-05",385355,0.00513811939640072,0.0618287034033553,0.0288902440606713,170112432,0.000594888914409266,0.0748116575042558
"61","20-75",726018,0.00262252451041159,0.0319689043522337,0.0308435879000245,349975488,0.000108628143408718,0.026014439045514
"62","14-49",451411,0.00704679327708009,0.0510798363354017,0.0189561175957165,171925696,0.00366811805723328,0.0327741119047149
"63","16-25",588079,0.000936948947335307,0.0391971146733687,0.0195773016890588,218616832,0.000165559805367594,0.0257169402216935
"64","10-36",477736,0.00295142086842943,0.0460526315789474,0.0541993904583285,213283808,0.000296332251785377,0.0510309671515242
"65","07-18",712055,0.00330592440190716,0.0307406029028656,0.0157670404673796,206199696,0.0505416555027317,0.071778073814425
"66","09-43",214393,0.014977168097839,0.101962284216369,0.0942474800949658,101936352,0.000428166149334047,0.0343399232101223
"67","08-17",416502,0.00149098923894723,0.0510729840432939,0.0474451503234078,209184144,0.00873730001734739,0.0449295286931499
"68","12-04",374696,0.00389649208958729,0.0547697333304866,0.0333657151397399,249743152,0.0138491344899819,0.0288818810134982
"69","15-01",249542,0.00205977350506127,0.0785438924108968,0.0180610879130567,246841008,0.000550273108388862,0.0206448516852597
"70","19-28",1099059,0.00383327919611231,0.0174703996782702,0.0327534736533707,317367328,0.0129287308049554,0.120348632736386
"71","14-41",206678,0.000474167545650722,0.0898353961234384,0.0761425986316879,214650832,7.25894359123658e-05,0.0126890575015335
"72","16-53",389304,0.0143615272383536,0.046382775414586,0.0477647288494339,173699840,0.0319966644759143,0.0919300443800063
"73","12-21",574970,0.000690470807172548,0.0312207593439658,0.0104788075899612,243775936,0.000416936245249408,0.0171779834741359
"74","12-41",355666,0.00240956402917344,0.0500019681386469,0.0120843712921674,180945760,0.00454331798103476,0.0463580439795881
"75","08-47",283508,0.00465242603383326,0.0625202816146282,0.0327891981884109,159752960,0.00247702237410812,0.0538760095587587
"76","12-59",703304,0.000612821766974168,0.0249735533993835,0.0236412703468202,248825088,0.00862378977637496,0.0932011566293508
