"","CD19","CD4","CD8","MPO","CD68"
"11-100",0.110151811271766,0.688260670759551,0.558332023727051,0.099175409227609,0.763072244039631
"19-26",0.252953989897153,0.287027655788799,0.127811237701064,0.292612496323663,0.912880573726688
"20-60",0.324435743859391,0.900875228718298,0.931004125242758,0.0498463358003132,0.428144730803557
"10-53",0.978274306869101,0.849920015865874,0.750428775874226,0.00121785303153326,0.32605925115961
"13-23",0.357000482911461,0.582306492598748,0.138577510476678,0.00447992819693316,0.200382163881789
"19-66",0.739064554239409,0.623846933739152,0.343901173364707,0.241179633886021,0.778618652552816
"10-32",0.0954756900296655,0.343261004306687,0.096242364022284,0.086324537220714,0.482154418587018
"19-47",0.0774558349907189,0.43029436798516,0.765630154380148,0.136479752326668,0.722789204072607
"19-11",0.11467171499005,0.74980759497515,0.75025552983763,0.0124658678368328,0.306030571631475
"14-20",0.555752683604074,0.401322566122208,0.123509293490583,0.0175205717819699,0.110370841317767
"15-68",0.459141613063875,1,0.428675987885838,0.135247080624176,1
"20-40",0.169569893411371,0.419632260880999,0.476329099312754,0.00163415196779615,0.2104413927405
"19-23",0.132800607699755,0.361840432793136,0.240773567103658,0.239417389093036,0.867702099279627
"13-05",0.0333355019254452,0.808806367791129,0.321339581815652,0.0229875784158258,0.175625475081029
"21-18",0.0724083275362103,0.194197101592845,0.195067810796343,0.0382315317005669,0.640316616905798
"10-19",0.418289051247268,0.612614682432012,0.325654382480532,0.00368941320736821,0.2162520661006
"12-39",0.215262754979496,0.391306420748094,0.466816253759067,0.00351282143822322,0.28657024375166
"21-08",0.665294619687168,0.760569372186577,0.768736924963813,0.000262888914263592,0.514564582678149
"19-50",0.0564779398110919,0.164976882599909,0.0849144949276076,0.604524310204319,0.340344645229893
"21-17",0.0525199244152612,0.227535461043185,0.277329843850988,0.0734928354430411,0.6410833383371
"11-44",0.0432175134162165,0.824266021874617,0.107501551285478,0.00268644910271564,0.128067265513489
"11-06",0.311681572260907,0.334713475713268,0.193299808613632,0.0108305070440491,0.47108563185842
"20-44",0.51046842142942,0.39289968213009,0.378314476077243,0.00181551121497048,0.340047431795497
"18-52",0.156962271658971,0.346369743533421,0.167051548059425,0.0646361452854965,0.262211373006519
"20-49",0.143898464451204,0.184330300762242,0.13306616251451,0.00228526707751603,0.27409368267498
"10-52",0.156010485822772,0.626345963275631,0.498300926573352,0.0309965377640991,0.457081099181257
"16-44",1,0.640019023638311,0.687517653797317,0.0471935372252632,0.786666711376113
"11-17",0.109869913797788,0.213359229366418,0.194724656054055,0.0664110024334359,0.427834490554617
"18-54",0.361060706389264,0.389204702159354,0.382662782242215,0.184783212721661,0.373075655267327
"11-38",0.106241951133472,0.221861694045077,0.0650194203328751,0.304765908632418,0.71766012391445
"17-56",0.0714023818748735,0.309123389284769,0.0442776372176618,0.0282117548637954,0.434082199899005
"20-45",0.366685996512351,0.330785829286034,0.328255277027441,0.00446690578459726,0.148659831047143
"13-48",0.89391845600771,0.657037610899268,0.218605002276938,0.029851110986282,0.164724929647703
"21-35",0.0214564942364988,0.447974963428366,0.343192501430384,0.000973899851527968,0.0477326521258837
"17-24",0.251190329903612,0.280367729501683,0.362769187156941,0.125454978599485,0.938186815705492
"11-16",0.159563356556228,0.250230782236214,0.136082804022938,0.102591704570069,0.195886013859176
"19-03",0.90205876897412,0.711274358206615,0.333284739030827,0.0364524723938645,0.298352926362495
"21-10",0.0953210815574781,0.213318764840885,0.623386437124361,0.0208578214373779,0.314546035535098
"21-25",0.192354037774752,0.374827788197194,0.306081856474973,0.00231932695542288,0.105137319635616
"14-47",0.0782396872658048,0.382616692817282,0.124027608993225,0.0185319770665028,0.509495505187835
"14-51",0.789412583619198,0.287425831980708,0.0987585058508948,0.00260411976786644,0.258862471153758
"21-28",0.635715000009546,0.22175142854186,0.408985429601561,0.00120793890575037,0.217326109018949
"08-24",0.0177460223949688,0.298566024783448,0.302657393968233,0.0465749559283817,0.242819689075544
"09-49",0.617272722103697,0.246851059676184,0.36813389814173,0.000820104306711548,0.0990866711109743
"16-40",0.0883701103898584,0.200515588717267,0.944378681563255,0.000601982067205668,0.209574289508672
"21-05",0.0648256164804699,0.203235299764581,0.345661216440995,0.000339437056610225,0.582296243191221
"07-64",0.0898237513542407,0.154111446514436,0.11570640315882,0.011267917540417,0.0838102767662281
"21-20",0.0205411628819995,0.153234980168157,0.0993946149994462,0.0123230907896099,0.38610467975189
"12-17",0.268770853917093,0.338007842085838,0.246193572303387,0.0398221811725124,0.312654484707865
"15-06",0.192578318584315,0.186641278679813,0.266353198451048,0.113009016742946,0.372762126798645
"10-67",0.00396332481190432,0.227651770437388,0.300321896936911,0.0333795254292102,0.27368724934097
"07-59",0.256469453834248,0.335070111124078,0.769640363701578,0.0924594351028118,0.430601293685658
"19-59",0.0442478068480076,0.18802148793688,0.251598294642557,0.0189855573915538,0.349156165673812
"19-13",0.264833020367468,0.222769497245555,0.130092822742939,0.0451803751116106,0.248938041739887
"21-24",0.062434001873392,0.138959678557028,0.353267814464466,0.148626050317144,0.362251789003174
"07-70",0.250712742408249,0.458716305878635,0.34375549358037,0.011476015511341,0.0195045368672582
"15-02",0.00317069374100978,0.120972088414868,0.0798894143759794,0.147449981915207,0.377820838244096
"10-01",0.126166093337488,0.36810818343971,0.186228427027845,0.00742958370616388,0.137055265568711
"08-70",0.177628978049729,0.203560566429682,0.125510208764305,0.0125098293422243,0.251950029773759
"15-05",0.18297309158763,0.304935294542915,0.230046718617626,0.00172516978686289,0.338944523319128
"20-75",0.0933904762451576,0.156406299615371,0.245747098597657,0.000313070037606806,0.108256066754997
"14-49",0.250942699500032,0.251468142286478,0.150199250329035,0.0106498175495412,0.140212365659328
"16-25",0.0333656017557336,0.192360955984124,0.155192137964349,0.000478399404833862,0.106849643465628
"10-36",0.105102773838046,0.22646175599122,0.433473891759361,0.000858162177833594,0.22652150154096
"07-18",0.117726966172813,0.150296466812065,0.124566424355552,0.146770422831638,0.324603280900631
"09-43",0.533350539111432,0.504568266311904,0.755368179954796,0.0012410074015782,0.14761472597256
"08-17",0.0530954790122565,0.251434057527301,0.379185376620243,0.0253707060145548,0.197677000455852
"12-04",0.138757617130882,0.269822475184962,0.266019185479519,0.0402154572417469,0.121811875523908
"15-01",0.0733504025724585,0.388080201816522,0.143005275654397,0.00159560562653666,0.0828713858316234
"19-28",0.136506548664973,0.0842876519483435,0.261098175782261,0.0375426078359313,0.554220206333336
"14-41",0.0168855363343653,0.444246544221343,0.609846683564789,0.000208413744411699,0.0452604330159943
"16-53",0.511427009765925,0.228103961687413,0.381754051008736,0.0929158272305147,0.419871559161826
"12-21",0.0245882916476927,0.152684867131923,0.0820612268958706,0.0012083957954446,0.066481794334485
"12-41",0.0858067603693783,0.246106596495287,0.0949662565680297,0.0131913953749661,0.204430294947122
"08-47",0.165677110459824,0.308375351740161,0.261385318661789,0.00719087943281793,0.239971416567148
"12-59",0.0218231389044804,0.12160993529914,0.187857074299837,0.0250410726318631,0.425880732065174
"11-80",0.152843580856023,0.214205451105615,0.349716770369975,0.0338509244332565,0.155247742511979
"16-45",0.147463737288594,0.451125138709827,0.672773378768065,0.0324619880378161,0.186807047895884
"07-69",0.00494670961822516,0.146235154719795,0.0418940770768379,0.0218303935956952,0.508710705919803
"11-92",0.0961011434370243,0.180632907314012,0.188780590478387,0.0170166459323418,0.423224746616199
"19-41",0.0470387485650464,0.247080744081528,0.273958518926771,0.0231341830269848,0.295069479551379
"12-01",0.468157035558286,0.494641052004341,0.194059403636073,0.0345989386606219,0.35625791363038
"13-73",0.0582459799974409,0.280918593425125,0.65798212543033,0.0141883922144705,0.0955793567576696
"17-36",0.676060286471304,0.185979999265878,0.445009082759377,0.00251430665525175,0.212502917427918
"11-27",0.0927934039111652,0.243656463207651,0.209621452313898,0.00192610832096842,0.147564997356284
"17-44",0.551411211150797,0.123063243884909,0.282467613988429,0.0390619640966477,0.429798280708906
"11-01",0.0366293989059222,0.0405979542017011,0.0100531921932128,0.233915539546124,0.359402240528196
"16-15",0.0167131309732003,0.20679494313776,0.567940687260187,6.38525041049425e-06,0.0432766851345662
"17-20",0.070359407677257,0.0516225825019199,0.637142217575731,0.0209889884553723,0.632151317458941
"14-44",0.608266014826837,0.190352160812579,0.117971454927311,0.00826969461691294,0.142455886140822
"10-65",0.127876532206693,0.0965126977909684,0.165071318687656,0.00965759332501865,0.172565022183773
"11-37",0.0824471852206304,0.0978976254427856,0.18279559404727,0.0129557691783665,0.147004847393466
"10-70",0.267135040242374,0.146102604472444,0.188312744502779,0.0715084245818203,0.646479126927435
"19-61",0.237801181656026,0.390890733934192,0.237770174921899,0.000277658957696512,0.0984312814944271
"19-08",0.0157614900217511,0.132702648362295,0.367229845185007,0.0211984760865221,0.140173438463681
"19-38",0.089912673604623,0.182218556330139,0.112457790090279,2.20970612592275e-05,0.0569081240174496
"15-14",0.0424008200638339,0.269583024420686,0.319466921704365,0.00915932745487529,0.283006920754349
"09-39",0.131833514934179,0.169070349068059,0.135851173824041,0.00190189293623849,0.0697946689415511
"11-69",0.0170909861495564,0.0585489964995159,0.0541758138093949,1,0.409055989020346
"14-05",0.0926737044556363,0.131044628351681,0.138495901015587,0.000264577459927515,0.118620430785259
"13-82",0,0.195547909123606,0.341332630607067,0.00394495822405096,0.109761158478567
"10-45",0.070410391960759,0.188628144877617,1,0.384930320279673,0.686046869953179
"12-24",0.00753106228093036,0.186913568352828,0.0690396341967879,0.0101691843861492,0.175920712515215
"12-29",0.449948346823996,0.296758042241266,0.215720470285652,0.0340955158569699,0.509941964892419
"17-31",0.0328711817486314,0.162242826413847,0.211211849864932,0.000414252924579882,0.0610816980456543
"19-51",0.0205548680141061,0.148017329117768,0.14743743954656,0.00106327298921399,0.0678786542117971
"21-13",0.0244391908262395,0.0828570022252177,0.344792114475508,0.000564490870025758,0.0467393749137881
"06-59",0.121708228998317,0.0567950315991881,0,0.852272480718328,0.417375156889741
"08-65",0.719301334822781,0.216970951734269,0.155726798470458,0.00075393414477102,0.0589535292278527
"11-67",0.0767940007637527,0.207675384626198,0.305016462801241,0.0315321423418225,0.253947954697795
"12-20",0.120638398454989,0.0925450198284724,0.118819817717328,0.0035226942728377,0.377650555858866
"19-20",0.133452301766633,0.0325479790107598,0.0203957770568666,0.938215530338103,0.316886672420139
"12-65",0.0915858788336751,0.302759444530564,0.769040963891697,0.000807836621983986,0.0627777097159895
"15-17",0.000142555391121086,0.0746166523094997,0.112736280941938,0.0038463546264634,0.0715436040550886
"18-48",0.131149923197062,0.120249078991198,0.0519977006367975,0.00150616706603025,0.104196093956077
"18-76",0.00741180508002959,0.14638623425348,0.101121204760487,0.0331671687144697,0.106609948720004
"12-34",0.495158932105584,0.12928513223654,0.0201638842614508,0.0443785238881554,0.253974281584421
"07-45",0.0609972002760832,0.0631378501199749,0.065411129174287,0.187095502233593,0.404222601259451
"12-67",0.108561882905771,0.0635100117540678,0.330684830477676,0.00742099713685882,0.353698470041492
"08-08",0.00108046733872628,0.101190417764555,0.105456029905111,0.00746528000652025,0.237633741764246
"11-64",0.0157450375339374,0.0945385937391072,0.359634837354795,0.000630316724847232,0.0177825472514483
"17-58",0.122326050514283,0.0557811758761351,0.247811202612875,0.146948175446795,0.593851030006385
"14-43",0.0292979127086894,0.161772424692064,0.109735437605926,0.000378239793302101,0.142482866977136
"18-04",0.0254706135245741,0.0526493981242656,0.158609336151284,0.0236860866072166,0.154665950040409
"08-53",0.108743720559407,0.103606944007465,0.285331505074307,0.0320963839151603,0.242098532062712
"07-24",0.0289328572623352,0.065974955142818,0.233004584267053,0.0684671155754253,0.287077910177936
"19-67",0.0183237840855082,0.111035962050596,0.0743179307718867,0.00310895319626803,0.222469187687066
"15-85",0.0450856024611151,0.0775419110383089,0.133819033954053,0,0.177708087086726
"20-43",0.0991409040772575,0.0719122415660412,0.224368363424382,0.00122705189678451,0.0256842076793434
"09-51",0.311711922651019,0.177013031204846,0.337693491249056,0.00619032050060662,0.0131923151043644
"12-05",0.107497503092022,0.12810627368521,0.197912631127122,0.0235231671455409,0.11235390750223
"08-52",0.245298690655138,0.0639305903193546,0.326274793571693,0.0206534583451609,0.216561529304855
"10-04",0.0759343856995579,0.0579975947278488,0.0382767018933769,0.0556752850953235,0.0197663501323863
"14-39",0.0147179765795212,0.0232333016954415,0.0126383674431288,0.190077687784617,0.61935143366883
"15-35",0.0598491335486338,0.0465851639586321,0.268477469792242,0.00186745426036634,0.237843637633264
"21-22",0.120059726369596,0.132320995414388,0.146829663042658,0.0154740427047788,0.114065436675918
"10-17",0.0196107199485997,0.101989143188433,0.234193307967373,0.0495122405755903,0.154229526625536
"12-49",0.000365540001268855,0.108032020712699,0.137765248308996,0.00465582101118433,0.0313897361603073
"17-18",0.0869261174123732,0.0326263577730656,0.0717166007817964,0.200461424933399,0.231563735320398
"14-12",0.278633481688769,0.0748661163854494,0.19989908380407,0.00171374499503568,0.0988312189546607
"14-48",0.0070691860532763,0.0556945012097762,0.268605243012769,0.0036499710699073,0.0815156146510764
"09-21",0.0165472638677712,0.0426374508661852,0.37420617786956,0.00458055676490762,0.190625576724416
"15-19",0.0463864786265338,0.0276469566517593,0.459396070416224,0.0010386816335659,0.110209079916182
"09-22",0.149806861938834,0.0302497194821919,0.38122397148439,0.00351391045253781,0.125710523663126
"18-44",0.0471022044290119,0.0403646636036834,0.0540604428423343,0.115144027871607,0.293679853775764
"16-55",0.105712671614176,0.0205471852575102,0.18563275804291,0.0415352553744999,0.145357223363018
"17-49",0.0148059674663823,0.00721345689687299,0.0266245559463201,0.090931394386606,0.47534545497975
"08-22",0.150184894596777,0.0785771238541207,0.252849234792651,0.0138698743705435,0.0728151906969532
"16-47",0.0611163632138296,0.0157254866658425,0.252401918804158,0.00139750342258534,0.0153827766801166
"13-74",0.270341634179055,0.0267408805002197,0.20561786545991,0.0103519188038522,0.0419628284191957
"09-04",0.324605053420671,0.0253071360867705,0.0884893781432578,0.0166642159578448,0.0675002676122199
"18-30",0.038081803013041,0.0158705676356859,0.0589560807333687,0.00798435673337244,0.136319154847406
"10-61",0.00581719143865152,0.00533118336600829,0.0891032499056974,0.0119068506924671,0.0766336089553086
"13-17",0.0510764314403318,0.00627612404800341,0.100500348922912,0.00012314726011155,0.048965516865089
"15-24",0.437768069171032,0.00182744889655912,0.142469314730868,0.0162934467442674,0.240635678322778
"16-19",0.00333549796237696,0,0.123344995368827,0.167017159432786,0.099462515414819
"12-66",0.000619185514863931,0.00406746040170918,0.203625899811181,0.000967115286860664,0.0998378652951964
"14-14",0.000613896478479032,0.00386032597625646,0.0182043657197321,0.00138715178716653,0
"11-33",0.145219793335379,0.400011733045227,0.162383836473368,0.39089421288966,0.609025809127651
