"","Slide..","PMN_1","Necrosis_1","Abscess_1","Bacteria_1","Alveolar.Hemorrhage_1","Edema_1","Hyaline.membranes_1","Desquamated.epithelial_1","AT.2.pneumocyte.hyperplasia_1","Hemophagocytosis_1","Lymphoplasmacytic_1","Hemosiderosis_1","Arterial.thrombi_1","Multinucleated_1","Granuloma_1","Fibrosis_1","Peribronchiolar.metaplasia_1","vasculitis_1","Fibrin_alveoli"
"1","3063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","3064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","3065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","3066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","3067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","3068",2.5,1,0,0,1,3,0.5,0,0,0,2,0,0,0,0,0,0,0,1
"7","3069",2.5,0.5,0,0,0.5,3,0,0,0.5,0,3,0,0,0.5,0,0,0,0,1
"8","3070",2,0.5,0,0,0,1.5,0,0,0,0,2,0,0,0.5,0,0,0,0,1
"9","3071",1.5,0.5,0,0,0.5,1,0.5,0,0,0,2.5,0,0,0.5,0,0,0,0,1
"10","3072",1.5,0.5,0,0,0.5,1,0.5,0,0,0,2.5,0,0,0,0,0,0,0,1
"11","3073",1,0,0,0,0,1.5,0.5,0,0,0,2.5,0,0,0.5,0,0,0,0,1
"12","3074",3,0.5,0,1.5,0.5,2.5,0,0,0,0,0.5,0,0,0,0,0,0,0,1
"13","3076",3,2.5,0,3,0.5,2.5,0,0,0,0,0.5,0,0,0,0,0,0,0,3
"14","3077",3,2,0,3,0.5,2.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2
"15","3078",3,1,0,2.5,0,2.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,1
"16","3081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","3082",2.5,0,0,0,0.5,1.5,0.5,0,0,0,2,0,0,0.5,0,0,0,0,1
"18","3084",2.5,2,0,2.5,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,0,3
"19","3085",3,0.5,0,2,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"20","3086",2.5,1.5,0,2.5,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,2
"21","3087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","3088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","3089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","3090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","3091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","3092",1,0.5,0,0,0,1.5,0,0,0,0,2,0,0,0.5,0,0,0,0,0
"27","3093",1,0,0,0,0,1,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0
"28","3094",1,0,0,0,0.5,1.5,0.5,0,0,0,2.5,0,0,0.5,0,0,0,0,1
"29","3095",3,2.5,0,3,0.5,2.5,0,0,0,0,0.5,0,0,0,0,0,0,0,3
"30","3096",3,1.5,0,3,0.5,3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,3
"31","3097",3,1.5,0,3,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,1
"32","3098",3,0.5,0,2.5,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,1
"33","3099",3,0.5,0,2.5,0,2.5,0,0,0,0,0.5,0,0,0,0,0,0,0,1
"34","3100",3,2.5,0,2.5,2,3,0,0,0,0,0.5,0,0,0,0,0,0,0,3
"35","3101",3,0.5,0,2.5,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,1
